family_id,earliest_publication_date,distinct_publication_numbers,distinct_country_codes,distinct_cpc_codes,distinct_ipc_codes,citing_families,cited_families
52303480,2015-01-19,JP-2015010004-A,JP,"","B28D1/24,C03B33/04","",""
52303500,2015-01-19,JP-2015010026-A,JP,"","C04B35/47,H01B3/12,H01G4/12","",""
52306367,2015-01-21,CN-104286198-A,CN,"",A23C19/09,"",""
52306415,2015-01-21,CN-104286246-A,CN,"","A23F3/06,A23F3/14","",""
52306892,2015-01-21,CN-104286722-A,CN,"A23L19/01,A23L19/15,A23L33/10,A23L33/105,A23L33/16,A23L33/185,A23V2002/00","A23L33/10,A23L33/16,A23L33/17,A23L33/185","",""
52307237,2015-01-21,CN-104287069-A,CN,"","A23L5/20,A23N12/02","",""
52307355,2015-01-21,CN-104287189-A,CN,"A41D1/04,A41D2500/10,A41D2500/20,A41D27/00,A41D27/08,A41D27/10,A41D27/18,A41D27/20,A41D31/02","A41D1/04,A41D27/00,A41D27/18,A41D27/20,A41D31/02","",""
52308538,2015-01-21,CN-104288427-A,CN,"A61K2236/331,A61K2236/53,A61K36/232,A61K36/258,A61K36/482,A61K36/704,A61K36/725,A61K36/815,A61K36/8945,A61K9/0095","A61K36/8945,A61P1/14,A61P1/16,A61P13/12","",""
52308637,2015-01-21,CN-104288526-A,CN,"A61K35/646,A61K36/185,A61K36/22,A61K36/233,A61K36/236,A61K36/24,A61K36/28,A61K36/39,A61K36/42,A61K36/48,A61K36/481,A61K36/575,A61K36/60,A61K36/716,A61K36/736,A61K36/78,A61K36/85,A61K36/8888,A61K36/8969,A61K36/8984,A61K9/0053","A61K36/8984,A61P1/02","",""
52310660,2015-01-21,CN-104290620-A,CN,B60N2/2803,B60N2/26,"",""
52311411,2015-01-21,CN-104291418-A,CN,"C02F1/52,C02F2103/10,C02F2201/002,C02F2209/40",C02F1/52,"",""
52313611,2015-01-21,CN-104293652-A,CN,"C12M21/04,C12M41/12,Y02E50/30",C12M1/107,"",""
52314112,2015-01-21,CN-104294166-A,CN,Y02P10/20,"C21D8/10,C22C38/40,C22C38/42,C22C38/44","",""
52314404,2015-01-21,CN-104294464-A,CN,"","D03C13/00,D03D41/00,D03D49/26,D03D49/62","",""
52315013,2015-01-21,CN-104295090-A,CN,"",E04G13/00,"",""
52316573,2015-01-21,CN-104296737-A,CN,G01C19/5691,G01C19/5691,"",""
52317445,2015-01-21,CN-104297642-A,CN,"",G01R31/12,"",""
52317554,2015-01-21,CN-104297752-A,CN,"G01S13/931,G01S2013/9314","G01S13/08,G01S13/60,G01S13/62,G01S13/93","",""
52317762,2015-01-21,CN-104297970-A,CN,"G02F1/13306,G02F1/1333",G02F1/133,"",""
52318357,2015-01-21,CN-104298626-A,CN,"G06F11/1016,G06F11/1048,G06F11/1064,G06F11/1076,G11B20/1833","G06F11/14,G06F13/16","",""
52319112,2015-01-21,CN-104299399-A,CN,"",G08C19/16,"",""
52321592,2015-01-21,CN-104302095-A,CN,"H01P1/203,H05K1/0218,H05K2201/0397","H05K1/02,H05K9/00","",""
52322425,2015-01-21,CN-204105049-U,CN,"",A44C1/00,"",""
52322563,2015-01-21,CN-204105190-U,CN,"",A45F3/16,"",""
52323321,2015-01-21,CN-204105951-U,CN,"",A61B5/02,"",""
52323763,2015-01-21,CN-204106397-U,CN,"","A61G7/012,A61G7/05","",""
52325671,2015-01-21,CN-204108313-U,CN,"",B22F9/24,"",""
52325799,2015-01-21,CN-204108441-U,CN,"",B23D7/00,"",""
52325870,2015-01-21,CN-204108512-U,CN,"","B23K11/11,B23K11/24,B23K11/36","",""
52326048,2015-01-21,CN-204108690-U,CN,"",B23Q3/00,"",""
52326265,2015-01-21,CN-204108910-U,CN,"","B25B15/00,B25B23/00,B25F1/02","",""
52328559,2015-01-21,CN-204111222-U,CN,"",B66C23/78,"",""
52328746,2015-01-21,CN-204111411-U,CN,Y02E50/30,C02F3/28,"",""
52329046,2015-01-21,CN-204111713-U,CN,"",C11B1/00,"",""
52329713,2015-01-21,CN-204112386-U,CN,"",E02F3/96,"",""
52331181,2015-01-21,CN-204113868-U,CN,"",F16C1/14,"",""
52332970,2015-01-21,CN-204115669-U,CN,"",G01B11/02,"",""
52333462,2015-01-21,CN-204116165-U,CN,"",G01N5/04,"",""
52333609,2015-01-21,CN-204116312-U,CN,"","G01N33/00,G01N33/18","",""
52336831,2015-01-21,CN-204119556-U,CN,"","F24D13/02,H05B3/10,H05B3/56","",""
52338280,2015-01-15,JP-2015008174-A,JP,"","H01F27/30,H01F27/33","",""
52339845,2015-01-14,JP-5653489-B1,JP,"B29B7/72,B29B9/06,B29B9/12","B29B9/12,C08J3/12","",""
52342325,2015-01-20,BR-302013005336-S1,BR,"","","",""
52343429,2015-01-22,US-2015023018-A1,US,"F16B11/006,F16B19/002,F16B19/10,F16B2200/83,F21K9/90,F21S4/008,F21Y2101/02,G02F1/133608,G02F1/133615,Y10T29/4913","F16B19/00,F21K99/00,F21S4/00","",""
52359404,2015-01-28,CN-104303963-A,CN,"A01G27/00,A01G9/02",A01G29/00,"",""
52359589,2015-01-28,CN-104304148-A,CN,"A01G31/02,A01G7/045,A01K63/003,A01K63/006,A01K63/045,Y02P60/21","A01G31/02,A01G7/04,A01K63/00,A01K63/04","",""
52359672,2015-01-28,CN-104304231-A,CN,"",A01M29/32,"",""
52360172,2015-01-28,CN-104304737-A,CN,"","A23K1/16,A23K1/18","",""
52360660,2015-01-28,CN-104305225-A,CN,"A23L33/105,A23L33/17,A23L33/18,A23L33/185,A23L33/195,A23V2002/00","A23J3/20,A23L33/18,A23L33/185,A23L33/19","",""
52360711,2015-01-28,CN-104305276-A,CN,"A23L13/20,A23L13/42,A23L13/70,A23L19/09,A23L33/105,A23L5/10,A23V2002/00",A23L33/10,"",""
52361539,2015-01-28,CN-104306119-A,CN,"","A61G7/00,A61G7/05","",""
52362836,2015-01-28,CN-104307444-A,CN,B01J13/0091,B01J13/00,"",""
52363027,2015-01-28,CN-104307636-A,CN,"","B03C3/16,B03C3/34,B03C3/78","",""
52363063,2015-01-28,CN-104307672-A,CN,"B05B15/52,B05C5/02","B05B15/02,B05C5/00","",""
52363921,2015-01-28,CN-104308538-A,CN,"B23P23/02,B23Q1/25,B23Q3/08,B23Q5/40,B23Q7/14","B23P23/02,B23Q1/25,B23Q3/08,B23Q7/00","",""
52364358,2015-01-28,CN-104308980-A,CN,B28B17/00,B28B17/00,"",""
52364436,2015-01-28,CN-104309058-A,CN,"B29B11/00,B29C45/14,H05K5/00","B29B11/00,B29C45/14,H05K5/00","",""
52364757,2015-01-28,CN-104309383-A,CN,"B43M99/001,B43M99/008",B43M99/00,"",""
52364874,2015-01-28,CN-104309504-A,CN,"B60N2/34,B60N2/64","B60N2/34,B60N2/64","",""
52365217,2015-01-28,CN-104309853-A,CN,"B65B11/50,B65B35/44,B65B35/58,B65B51/14,B65B63/00","B65B35/44,B65B35/58,B65B53/02","",""
52365863,2015-01-28,CN-104310509-A,CN,C02F1/00,C02F1/00,"",""
52366059,2015-01-28,CN-104310706-A,CN,"Y02A40/20,Y02E50/30,Y02W30/40","C02F9/14,C05F3/00,C05F7/00","",""
52366311,2015-01-28,CN-104310960-A,CN,Y02P40/60,C04B33/132,"",""
52367870,2015-01-28,CN-104312548-A,CN,"C08F220/06,C08F222/02,C09K8/035,C09K8/24","C08F220/06,C08F220/38,C08F220/58,C08F222/02,C08F226/02,C08F228/02,C09K8/035,C09K8/24","",""
52367937,2015-01-28,CN-104312615-A,CN,C10G29/22,C10G29/22,"",""
52371549,2015-01-28,CN-104316287-A,CN,"",G01M9/04,"",""
52372026,2015-01-28,CN-104316773-A,CN,"","G01R27/02,G01R27/26","",""
52373107,2015-01-28,CN-104317875-A,CN,"G06F16/951,G09B7/00","G06F17/30,G09B7/00,H04L29/06","",""
52373723,2015-01-28,CN-104318497-A,CN,"G06F16/21,G06F16/24578,G06F16/9535,G06Q50/20,G09B5/065,G09B5/12,G09B7/04","G06F17/30,G06Q50/20","",""
52373768,2015-01-28,CN-104318542-A,CN,"",G06T5/50,"",""
52373814,2015-01-28,CN-104318588-A,CN,"G06T2207/10016,G06T2207/30232,G06T7/207,G06T7/277,G06T7/292,G06T7/80",G06T7/20,"",""
52374880,2015-01-28,CN-104319681-A,CN,"",H02G1/02,"",""
52375814,2015-01-28,CN-104320653-A,CN,"",H04N17/00,"",""
52376001,2015-01-28,CN-104320854-A,CN,"H04W72/56,H04W72/566",H04W72/10,"",""
52376261,2015-01-28,CN-204119858-U,CN,"","A01G13/00,A01G7/06","",""
52376893,2015-01-28,CN-204120494-U,CN,"","A47B23/02,A47C19/22","",""
52377217,2015-01-28,CN-204120821-U,CN,"","A47J31/00,A47J31/44","",""
52379012,2015-01-28,CN-204122621-U,CN,"",B21D37/16,"",""
52380016,2015-01-28,CN-204123629-U,CN,"",B29C45/73,"",""
52380050,2015-01-28,CN-204123663-U,CN,"",B29C49/42,"",""
52381197,2015-01-28,CN-204124821-U,CN,"",B65G49/00,"",""
52382800,2015-01-28,CN-204126433-U,CN,"",E05D7/081,"",""
52383909,2015-01-28,CN-204127553-U,CN,"","F16L47/10,F16L47/12","",""
52385095,2015-01-28,CN-204128750-U,CN,"",G01M3/06,"",""
52385431,2015-01-28,CN-204129086-U,CN,"","G01R11/00,G01R11/04","",""
52386249,2015-01-28,CN-204129915-U,CN,"","G06K7/10,G08B21/08","",""
52391168,2015-01-29,CA-2919069-A1,CA,"G01V13/00,G01V3/108,G01V3/26,G01V3/28","E21B47/00,G01V3/18,G01V3/38","",""
52394755,2015-01-21,CA-157273-S,CA,"","","",""
52436347,2015-01-22,JP-2015014540-A,JP,Y02E30/30,"E04G21/28,G21C13/00","",""
52436482,2015-01-22,JP-2015014739-A,JP,"","G02B7/02,G02B7/08,G02B7/28,G02B7/34,G02B7/36,G03B13/36,H04N5/232","",""
52437729,2015-01-29,JP-2015016084-A,JP,"",A63F7/02,"",""
52438323,2015-01-29,JP-2015016924-A,JP,"","B65G47/14,B65G65/48","",""
52462086,2015-01-22,KR-20150008487-A,KR,"B22F10/00,B22F10/25,B22F10/362,B22F10/368,B22F12/17,B22F2007/068,B23K2103/10,B23K2103/14,B23K2103/18,B23K2103/26,B23K26/32,B23K26/34,B23K26/342,B23K35/007,B23K35/0244,B23K35/30,B23K35/3033,C22C1/023,C22C19/056,C22C19/057,C22C47/14,C23C24/106,Y02P10/25","B23K26/34,B23K35/30","",""
52471786,2015-01-19,CA-2821435-A1,CA,"B65D19/0095,B65D19/40,B65D2519/00029,B65D2519/00064,B65D2519/00099,B65D2519/00273,B65D2519/00278,B65D2519/00293,B65D2519/00298,B65D2519/00323,B65D2519/00333,B65D2519/00353,B65D2519/00373,B65D2519/00572,E04D15/02",B65D19/38,"",""
52477012,2015-01-14,KR-20150005078-A,KR,"C01B33/12,C01P2004/60,C01P2006/12,C01P2006/16,C12N11/14","B01J21/08,C01B33/12,C12N11/14","",""
52477237,2015-01-14,KR-20150005364-A,KR,"H04W74/085,H04W74/0858",H04W74/08,"",""
52481717,2015-01-27,KR-20150009651-A,KR,A47J43/27,A47J43/27,"",""
52482703,2015-01-30,KR-20150011291-A,KR,"A23L13/30,A23L17/20,A23L33/10","A23L1/30,A23L17/20,A23L19/00","",""
52572031,2015-01-22,KR-20150008346-A,KR,"B01D61/02,B01D61/12,C02F1/44,Y02A20/131","C02F1/44,C02F103/08","",""
52572581,2015-01-26,KR-20150009315-A,KR,"G06F2203/04102,G06F3/041,H01B5/14",G06F3/041,"",""
52588082,2015-01-07,KR-101479758-B1,KR,"B01D2239/025,B01D2239/0457,B01D2239/0618,B01D2239/0631,B01D2239/10,B01D39/1607,D04H1/4342,D04H1/559,D04H1/728,D06C7/00,D10B2505/04","B01D39/08,D04H1/4374,D04H1/728","",""
52590762,2015-01-19,KR-101483724-B1,KR,"A01G2/00,A01G9/021,A01G9/028,A01G9/033","A01G9/02,E04B1/78","",""
52685072,2015-01-15,JP-3195358-U,JP,"","A47C7/00,B60B33/00,B60B33/06","",""
52717912,2015-01-01,TW-201500870-A,TW,"","G04G21/04,H01Q1/27","",""
52718579,2015-01-16,TW-201503684-A,TW,"",H04N5/232,"",""
52988699,2015-01-12,UA-95790-U,UA,"",C30B31/06,"",""
52989039,2015-01-12,UA-96133-U,UA,"",G01N3/40,"",""
53281372,2015-01-27,RU-2013135036-A,RU,"",G01N33/53,"",""
53404211,2015-01-30,CL-2014002670-S1,CL,"","","",""
35462183,2015-01-09,ES-2526343-T3,ES,"A61K39/3955,A61K39/39558,A61K45/06,A61P1/04,A61P11/06,A61P13/12,A61P17/00,A61P17/06,A61P17/14,A61P19/02,A61P21/00,A61P21/04,A61P27/02,A61P29/00,A61P3/10,A61P37/02,A61P37/06,A61P37/08,A61P5/14,A61P5/16,A61P7/06,A61P9/00,A61P9/10,C07K16/00,C07K16/28,C07K16/2809,C07K2317/21,C07K2317/34,C07K2317/52,C07K2317/56,C07K2317/565,C07K2317/74","C07K14/47,C07K16/28","",""
36928660,2015-01-15,JP-2015006195-A,JP,"A23K20/158,A23K20/179,A23K40/20,A23K40/25,A23K50/80,A23L33/105,A23L33/115,A23L33/15,A23L33/155,A23L5/44,A23P10/35,A23V2002/00,A61P3/02,C09B61/00,Y02A40/818,Y02P20/129","A23K1/16,A23K1/18,A23L1/30,A23L33/15,A23L5/40,A61K31/015,A61P3/02","",""
37036454,2015-01-13,US-8934621-B2,US,H04B3/23,"H04B3/23,H04M9/08","",""
38255792,2015-01-20,CA-2653337-C,CA,"B27N3/00,B27N3/002,C08G12/12,C08L97/02,C09J161/24","B27N3/00,C08G12/12,C09J161/24","",""
39887571,2015-01-27,US-8942653-B2,US,"H01Q21/0025,H01Q3/30,H01Q3/38,H04B7/0617,Y02D30/70","H01Q21/00,H01Q3/30,H04B1/04,H04B7/06","",""
40219380,2015-01-27,BR-PI0814537-A2,BR,"A61L2420/02,A61L27/28,A61L27/50,A61M39/045,A61M39/16,C07D213/30",A61L29/16,"",""
40799355,2015-01-07,CN-104257394-A,CN,"A61B10/0233,A61B2090/3764,A61B34/10,A61B6/032,A61B6/0414,A61B6/0435,A61B6/12,A61B6/463,A61B6/502,A61B6/583,A61B90/11,A61B90/14,A61B90/17,G06T11/006","A61B10/02,A61B6/03,A61B6/04","",""
40806735,2015-01-15,AU-2009216710-B2,AU,"F01C1/22,F01C21/008","F01C1/22,F01C21/00","",""
41256100,2015-01-14,CN-102084089-B,CN,F01D5/141,F01D5/14,"",""
41258559,2015-01-14,JP-5654563-B2,JP,"B64C25/50,F16D7/10",B64C25/50,"",""
41404608,2015-01-28,JP-5661035-B2,JP,"A61K38/00,A61K38/13,A61K9/0014,A61K9/0048,A61P15/00,A61P17/00,A61P17/06,A61P27/00,A61P27/02,A61P27/04,A61P31/00,A61P37/08,C07K7/645","A61K38/00,A61K47/10,A61K47/20,A61K47/34,A61K47/44,A61P15/00,A61P17/00,A61P17/06,A61P27/02,A61P37/08,C07K7/64","",""
41470973,2015-01-28,CN-101611451-B,CN,"","G06F3/0481,G11B27/034,G11B27/10,G11B27/32,G11B27/34","",""
41721932,2015-01-14,CN-102137712-B,CN,"B01J2208/00053,B01J2208/00504,B01J8/009,B01J8/02,C01B2203/0233,C01B2203/0405,C01B2203/043,C01B2203/0445,C01B2203/0465,C01B2203/047,C01B2203/0475,C01B2203/066,C01B2203/0811,C01B2203/0822,C01B2203/0827,C01B2203/1217,C01B2203/1223,C01B2203/1229,C01B2203/1235,C01B2203/1241,C01B2203/1247,C01B2203/1288,C01B2203/84,C01B3/384,F16K31/002,H01M8/0625,Y02E60/50,Y02P20/10,Y10S423/05",B01J8/00,"",""
41786424,2015-01-05,PT-2509797-E,PT,"B41F31/00,B41F31/002,B41F31/14,B41F31/26,B41N2207/02,B41N2207/14,B41N7/005,B41N7/04,B41N7/06","B41N7/00,B41N7/04,B41N7/06","",""
42233656,2015-01-27,US-8943311-B2,US,"G06F21/00,H04L2209/56,H04L2209/80,H04L63/08,H04L63/0823,H04L63/0853,H04L9/3234,H04L9/3263","G06F21/00,H04L29/06,H04L9/32","",""
42797568,2015-01-20,US-8938247-B2,US,"H04B7/024,H04L5/0035,H04L5/0048,H04L5/0091,H04W52/325,H04W52/40","H04B7/00,H04B7/02,H04L5/00,H04W52/32,H04W52/40,H04W72/04,H04W88/06","",""
43334207,2015-01-28,CN-102054302-B,CN,"E05G5/003,G07C9/00,G07C9/27,G08B13/00",G07C9/00,"",""
43626348,2015-01-20,US-8938591-B2,US,"G06F3/0619,G06F3/0622,G06F3/064,G06F3/0643,G06F3/067,H04L67/1097","G06F12/00,G06F3/06,H04L29/08","",""
43778727,2015-01-06,US-8926231-B2,US,"B65G53/48,C10J2200/158,C10J2300/0916,C10J2300/093,C10J2300/094,C10J3/30,C10J3/50,F23K2203/202,F23K3/02","B65G53/48,C10J3/30,C10J3/50,F23K3/02","",""
43866514,2015-01-28,CN-102025641-B,CN,"H04L47/70,H04L63/101","H04L12/70,H04L29/06","",""
43920647,2015-01-13,KR-20150004868-A,KR,"A46B11/00,A46B11/0003,A46B11/001,A46B11/0062,A46B11/0075,A46B15/0055,A46B15/0091,A46B15/0093,A46B17/00,A46B2200/1066,A46B9/04,B65D75/527,B65D75/5811","A46B11/00,A46B9/04,A61C17/00","",""
43949267,2015-01-28,JP-5660769-B2,JP,"",A63F7/02,"",""
44243888,2015-01-14,GB-2490697-B,GB,"A47L9/00,A47L9/16,A47L9/1625,A47L9/1633,A47L9/1641,B04C5/185,B04C5/26,B04C5/28","A47L9/16,B04C5/185,B04C5/26,B04C5/28","",""
44307920,2015-01-13,US-8931323-B2,US,"B21C37/09,Y10T29/53","B21C37/06,B21C37/09","",""
44509721,2015-01-21,JP-5657798-B2,JP,"G01S5/02522,G01S5/0278,H04W4/02,H04W4/029","G01S5/02,H04W4/02,H04W4/029","",""
44942848,2015-01-14,JP-5651981-B2,JP,"","B05C11/10,B05C5/00","",""
45007756,2015-01-07,CN-102260930-B,CN,"","D01D5/00,D01D7/00","",""
45043442,2015-01-21,JP-5655359-B2,JP,"",H05K1/14,"",""
45602090,2015-01-21,JP-5656483-B2,JP,"","A47C7/64,B60N2/90,B60N3/02","",""
45926035,2015-01-13,US-8935511-B2,US,"G06F1/12,G06F1/14,G06F11/1675,G06F9/30087","G06F1/14,G06F11/16","",""
45975362,2015-01-14,CN-103180305-B,CN,"C07D301/02,C07D301/32,C07D303/08,C07D303/14,C07D405/06","C07D301/02,C07D301/32,C07D303/08,C07D303/14,C07D405/06","",""
45991956,2015-01-07,EP-2819872-A2,EP,"B60L1/003,B60L2240/36,B60L58/12,B60L7/24,B60L7/26,B60T13/585,B60T17/221,B60T5/00,B60W10/188,B60W10/30,B60W2510/184,B60W2710/305,B60W30/18127,F16D2065/783,F16D65/78,F16D65/847,Y02T10/70,Y02T10/92","B60L1/00,B60L11/18,B60L7/26,B60T13/58,B60T5/00,B60W10/188,B60W10/30,B60W30/18,F16D65/78,F16D65/847","",""
46062229,2015-01-07,CN-104272081-A,CN,"B01D17/047,C12Q1/02,C12Q1/6806,G01N1/34,G01N1/38,G01N21/64,G01N33/5005","B01D17/04,G01N1/00,G01N33/00","",""
46090046,2015-01-28,CN-102477262-B,CN,"",H01L21/312,"",""
46146915,2015-01-28,ZA-201307829-B,ZA,"A61F13/02,A61F13/0206,A61F13/0213,A61F13/022,A61F13/023,A61F13/0246,A61F13/0279,A61F13/0283,A61F2013/00225,A61F2013/00229,A61F2013/00604,A61F2013/00702,A61F2013/00719,A61F2013/00723,A61F2013/0077,A61F2013/00774,A61F2013/00778,A61F2013/00782,A61L15/58,A61L15/60",A61F/,"",""
46181288,2015-01-14,CN-102489404-B,CN,Y02A50/2351,"B03C3/04,B03C3/40,B03C3/64","",""
46201676,2015-01-07,KR-20150002878-A,KR,"H01M2008/1293,H01M8/04089,H01M8/04097,H01M8/04447,H01M8/04552,H01M8/04798,H01M8/04992,Y02E60/50","H01M8/04,H01M8/12","",""
46219009,2015-01-14,CN-102506902-B,CN,"",G01C25/00,"",""
46413782,2015-01-14,CN-102568577-B,CN,"","G11C16/02,G11C16/06,G11C16/34,H10B69/00","",""
46456128,2015-01-06,US-8930617-B2,US,"G06F12/0253,G06F2212/213,G06F3/0608,G06F3/064,G06F3/0643,G06F3/0652,G06F3/0682,G06F3/0686","G06F12/00,G06F12/02,G06F13/00,G06F13/28,G06F3/06","",""
46479383,2015-01-21,CN-102590453-B,CN,"",G01N33/00,"",""
46832110,2015-01-07,CN-104271285-A,CN,"B22C9/082,B22C9/084,B22C9/088",B22C9/08,"",""
46832409,2015-01-02,"CN-103827756-B,HK-1197104-A1","CN,HK","G04B1/145,G04B1/16,G04B1/165,G04B1/18","G04B/,G04B1/14,G04B1/16","",""
46844085,2015-01-14,JP-5653239-B2,JP,"","G02F1/13357,G09F9/00,H04N5/66,H04Q9/00","",""
46878240,2015-01-27,US-8943157-B2,US,"G06F15/17306,G06F16/285,G06F16/287,G06F16/9535,G06F16/955,G06F17/30598,G06F17/30867,G06Q50/01,H04L12/1827,H04L12/581,H04L2101/69,H04L43/04,H04L43/045,H04L51/04,H04L51/08,H04L51/10,H04L51/14,H04L51/214,H04L51/222,H04L65/403,H04L67/06,H04L67/1095,H04L67/141,H04L67/26,H04L67/306,H04L67/52,H04L67/55,H04W4/02,H04W4/029,H04W4/08,H04W64/00,H04W8/186,Y10S707/99935,Y10S707/99954","G06F15/16,G06F15/173,G06F17/30,G06Q50/00,H04L12/18,H04L12/26,H04L12/58,H04L29/06,H04L29/08,H04W4/02,H04W4/029,H04W4/08","",""
46880062,2015-01-06,US-8929103-B2,US,"H01F27/38,H02M1/0064,H02M1/342,H02M3/33592,Y02B70/10,Y02B70/1475","H01F27/38,H02M3/335","",""
47266010,2015-01-28,JP-5659919-B2,JP,"","G02B5/20,G02B5/22,G02F1/1335,G03F7/004,G03F7/027,G03F7/029,G03F7/031","",""
47524465,2015-01-14,JP-5654093-B2,JP,"","E05B17/00,E05B37/02","",""
47628281,2015-01-16,FR-2998768-B1,FR,"A45D29/00,A45D31/00,A61K2800/24,A61K2800/594,A61K8/8111,A61K8/90,A61Q3/02","A45D31/00,A61K8/02","",""
47673217,2015-01-28,JP-5659962-B2,JP,"",H04R1/00,"",""
47844254,2015-01-15,US-2015017237-A1,US,"A61K31/427,A61K31/513,A61K38/55,A61K47/38,A61K9/2077","A61K31/427,A61K31/513,A61K47/38,A61K9/20","",""
47848975,2015-01-21,CN-102974460-B,CN,"","B03C1/10,B03C1/30","",""
47991785,2015-01-22,US-2015024590-A1,US,"H01L21/76802,H01L21/76816,H01L21/76831,H01L21/76877,H01L21/76898,H01L23/481,H01L2924/0002",H01L21/768,"",""
48050250,2015-01-28,EP-2828316-A1,EP,"C08G77/44,C08L83/10,C09D183/10,H01L23/296,H01L2924/0002","C08G77/04,C08G77/44,H01L23/29","",""
48094731,2015-01-05,JP-2015500406-A,JP,"A41G5/02,A45C11/00,A45C11/008,A45D44/00",A41G5/02,"",""
48097831,2015-01-14,CN-103054726-B,CN,"",A61J7/04,"",""
48150575,2015-01-21,CN-103073868-B,CN,"B29C2948/9259,B29C2948/92704,B29C2948/92885,B29C2948/92895,B29C48/40,B29C48/92","B29B7/72,B29B9/06,B29C48/92,C08K13/02,C08K3/26,C08K3/30,C08K3/34,C08K3/36,C08K5/092,C08L23/12,C08L69/00","",""
48186844,2015-01-21,JP-5658112-B2,JP,"Y02E10/541,Y02P70/50","H01L31/0749,H01L31/18","",""
48195190,2015-01-07,CN-103081642-B,CN,"","A01D41/00,A01D45/04","",""
48414035,2015-01-21,CN-103115615-B,CN,"","G01B11/00,G01C15/00,G06T7/00","",""
48430188,2015-01-19,JP-2015501766-A,JP,"B65B3/04,B65B3/18,B65B63/08,B65D77/06,B65D81/2023,B67C3/223,B67C3/30,B67D7/0255,B67D7/0288","B65B31/00,B65D77/06,B65D83/00,B67C3/02","",""
48495391,2015-01-21,CN-103135358-B,CN,"","G02B27/10,G02B27/44,G03F7/20","",""
48574620,2015-01-22,JP-2015502613-A,JP,"G06F16/957,G06Q10/107,G06Q50/40,H04L61/4594,H04L67/02,H04L67/1095","G06F13/00,H04M11/00","",""
48652297,2015-01-02,CL-2014002350-A1,CL,"B65D1/0253,C03B9/1932",C03B9/193,"",""
48719728,2015-01-28,CN-103197037-B,CN,"","G01N1/38,G01N1/44,G01N33/00","",""
48793895,2015-01-15,WO-2015003980-A1,WO,"E21B41/0099,E21B43/0122,E21B43/35,E21B43/36,E21C50/00","E21B43/01,E21B43/36","",""
48952136,2015-01-29,KR-20150010976-A,KR,"H01J2237/06375,H01J27/024,H01J3/027,H01J3/029,H01J37/04,H01J37/063,H01J37/065,H01J37/28",H01J37/06,"",""
49002184,2015-01-28,CN-104321869-A,CN,"H01L2224/48091,H01L2224/73265,H01L23/12,H01L23/3675,H01L23/49822,H01L23/49827,H01L23/49844,H01L23/552,H01L23/642,H01L25/074,H01L25/117,H01L25/16,H01L25/165,H01L25/50,H01L27/0883,H01L29/2003,H01L29/7827,H01L2924/13055,H01L2924/30107,H03K17/164,H03K2217/0045,H05K1/0218,H05K1/0263,H05K1/162,H05K2201/10015,H05K2201/10166,H05K2201/10545","H01L23/48,H01L25/065,H01L25/16","",""
49036620,2015-01-09,KR-20150003859-A,KR,"A61K31/618,A61K47/38,A61K9/1652,A61K9/2077,A61K9/2081,A61K9/2846,A61K9/2866,A61K9/2893,A61K9/4825,A61K9/4858,A61K9/4891,A61K9/5026,A61K9/5047,A61K9/5073,A61K9/5084,A61K9/5089,A61P19/02,A61P29/00,B65B7/16","A61K31/618,A61K9/22,A61K9/28,A61K9/48,A61P19/02","",""
49055052,2015-01-21,CN-103272369-B,CN,"","A63B21/00,A63B23/12,A63B71/06","",""
49157549,2015-01-28,EP-2829001-A1,EP,"H04B1/005,H04B1/0064,H04B7/0404,H04B7/046,H04L25/0224,H04L5/0035,H04L5/0051,H04L5/0094,H04W72/04,H04W72/0473,H04W72/12,H04W72/23,H04W72/56","H04L25/02,H04L5/00,H04W72/12","",""
49234286,2015-01-21,TW-I470485-B,TW,"G06F3/03542,G06F3/03545,G06F3/0414,G06F3/042","G01L5/00,G06F3/0354","",""
49237388,2015-01-08,US-2015010404-A1,US,"F01D5/282,F01D5/284,F01D5/3007,F01D5/3023,F01D5/3069,F01D5/3084,F04D29/023,F04D29/26,F04D29/321,F04D29/322,F04D29/324,F04D29/34,F05D2230/22,F05D2300/20,F05D2300/6033,Y02T50/60","F01D5/30,F04D29/26","",""
49257938,2015-01-07,PE-20142225-A1,PE,"F24D3/04,F42B3/00,F42B3/26,F42C19/08,F42D1/043,F42D3/04","F42B3/00,F42B3/195,F42D3/04","",""
49260206,2015-01-05,KR-20150000889-A,KR,"B21D39/00,C21D2261/00,C21D6/002,C21D6/005,C21D8/005,C21D8/0226,C21D8/0236,C21D8/0263,C21D9/0068,C22C38/00,C22C38/001,C22C38/02,C22C38/06,C22C38/22,C22C38/24,C22C38/26,C22C38/34,C22C38/38,C22C38/44,C22C38/46,C22C38/48,C22C38/52,C22C38/54,C22C38/58,H02K1/02,H02K1/27,H02K1/2795,H02K1/28,H02K1/30,H02K15/02,H02K15/03,Y10T156/1002","C21D8/00,C22C38/00,C22C38/38,H02K1/02,H02K1/27,H02K1/28,H02K15/02","",""
49261015,2015-01-13,KR-20150004800-A,KR,"A61K2039/5258,A61K2039/55505,A61K2039/55561,A61K39/00,A61K39/12,A61K39/145,A61K9/0019,A61P31/16,A61P37/04,B82Y5/00,C07K14/005,C07K16/1018,C07K2317/32,C12N15/63,C12N2760/16122,C12N2760/16134,C12Q2600/156,G01N2333/11,G01N33/56983","A61K31/16,A61K39/145,C07K14/11,C12N15/44","",""
