citing_assignee_organization,cpc_subclass_title,citation_count
"Samsung Display Co., Ltd.","Control arrangements or circuits, of interest only in connection with visual indicators other than cathode-ray tubes-for presentation of an assembly of a number of characters, e.g. a page, by composing the assembly by combination of individual elements arranged in a matrix ; no fixed position being assigned to or needed to be assigned to the individual characters or partial characters-using controlled light sources-using electroluminescent panels-semiconductive, e.g. using light-emitting diodes [LED]-organic, e.g. using organic light-emitting diodes [OLED]-using an active matrix-with pixel circuitry controlling the current through the light-emitting element",2
Siliconix Technology C. V.,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable only by variation of the electric current supplied, or only the electric potential applied, to one or more of the electrodes carrying the current to be rectified, amplified, oscillated or switched-Diodes-Schottky diodes",2
"SmartDrive Systems, Inc.",Registering or indicating the working of vehicles-communicating information to a remotely located station,2
Sprint Spectrum L.P.,"Hand-off or reselection arrangements-Performing reselection for specific purposes-for allowing seamless reselection, e.g. soft reselection",2
THE BOEING COMPANY,"Arrangements or adaptations of air-treatment apparatus for aircraft crew or passenger, or freight space; ; or structural parts of the aircarft",2
TOYOTA JIDOSHA KABUSHIKI KAISHA,"Controlling engines, dependent on conditions exterior or interior to engines, not otherwise provided for-on interior conditions-using an ionic current sensor",2
TOYOTA JIDOSHA KABUSHIKI KAISHA,Electrical control of supply of combustible mixture or its constituents -Circuit arrangements for generating control signals-Introducing closed-loop corrections-using means for determining characteristics of the combustion gases; Sensors therefor-characterised by the regulation method-Regulating the air fuel ratio at a value other than stoechiometry,2
TOYOTA JIDOSHA KABUSHIKI KAISHA,Electrical control of supply of combustible mixture or its constituents -Circuit arrangements for generating control signals-by measuring intake air flow -using a hot wire flow sensor,2
TOYOTA JIDOSHA KABUSHIKI KAISHA,"Engine-pertinent apparatus for adding non-fuel substances or small quantities of secondary fuel to combustion-air, main fuel or fuel-air mixture -adding fuel vapours drawn from engine fuel reservoir",2
TOYOTA JIDOSHA KABUSHIKI KAISHA,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Electrodes ; ; Multistep manufacturing processes therefor-characterised by the materials of which they are formed-Schottky barrier electrodes",2
TOYOTA JIDOSHA KABUSHIKI KAISHA,Supplying electric power to auxiliary equipment of vehicles -to electric heating circuits,2
"TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA, INC.","Starting aids for combustion engines, not otherwise provided for-Aiding engine start by thermal means, e.g. using lighted wicks-by heating of fluids used in engines-by heating of engine coolants",2
The Board of Trustees of the University of Illinois,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Unipolar devices ; , e.g. field effect transistors",2
TomTom International B.V.,Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network,2
Trane International Inc.,Casings; Header boxes; Auxiliary supports for elements; Auxiliary members within casings-Casings in the form of plate-like arrangements; Frames enclosing a heat exchange core,2
UNITED MICROELECTRONICS CORP.,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Semiconductor bodies ; ; Multistep manufacturing processes therefor-characterised by their shape; characterised by the shapes, relative sizes, or dispositions of the semiconductor regions ; ; characterised by the concentration or distribution of impurities within semiconductor regions-characterised by particular constructional design considerations, e.g. for preventing surface leakage, for controlling electric field concentration or for internal isolations regions -Isolation within the component, i.e. internal isolation-Dielectric regions, e.g. SiO2 regions, air gaps-adjoining the input or output region of a field-effect device, e.g. the source or drain region",2
"UNITED PARCEL SERVICE OF AMERICA, INC.","Administration; Management-Resources, workflows, human or project management, e.g. organising, planning, scheduling or allocating time, human or machine resources; Enterprise planning; Organisational models -Operations research or analysis-Performance analysis-Performance of employee with respect to a job function",2
UNITED SERVICES AUTOMOBILE ASSOCIATION (USAA),Services specially adapted for wireless communication networks; Facilities therefor-Services making use of location information-Location-based management or tracking services,2
"Uhnder, Inc.","Systems using the reflection or reradiation of radio waves, e.g. radar systems; Analogous systems using reflection or reradiation of waves whose nature or wavelength is irrelevant or unspecified-Systems using reflection of radio waves, e.g. primary radar systems; Analogous systems-Systems determining position data of a target-Simultaneous measurement of distance and other co-ordinates",2
VALEO S.P.A.,"Systems using the reflection or reradiation of acoustic waves, e.g. sonar systems-using reflection of acoustic waves -Systems of measurement, based on relative movement of the target-Discriminating between fixed and moving objects or between objects moving at different speeds-for presence detection",2
"Valencell, Inc.",Measuring for diagnostic purposes ; Identification of persons-Other medical applications-Indicating the phase of biorhythm,2
Valeo Systemes Thermiques,"Casings; Header boxes; Auxiliary supports for elements; Auxiliary members within casings-Header boxes; End plates-Arrangements for sealing elements into header boxes or end plates -by permanent joints, e.g. by rolling -by welding-the heat-exchange conduits having ends with a particular shape, e.g. deformed; the heat-exchange conduits or end plates having supplementary joining means, e.g. abutments",2
Valeo Systemes Thermiques,Evaporators; Condensers-Condensers,2
Victory Industrial Corporation,"Methods or apparatus specially adapted for manufacturing, assembling, maintaining or repairing of dynamo-electric machines -Embedding prefabricated windings  in machines-Windings in slots; salient pole windings-Windings consisting of separate segments, e.g. hairpin windings",2
Voicebox Technologies Corporation,"Speech recognition -Procedures used during a speech recognition process, e.g. man-machine dialogue",2
Waymo LLC,"Traffic control systems for road vehicles -Anti-collision systems -for active traffic, e.g. moving vehicles, pedestrians, bikes",2
"Western Digital Technologies, Inc.","Recording by magnetisation or demagnetisation of a record carrier; Reproducing by magnetic means; Record carriers therefor -Structure or manufacture of heads, e.g. inductive-using thin films -Details -Disposition of layers-including layers not usually being a part of the electromagnetic transducer structure and providing additional features, e.g. for improving heat radiation, reduction of power dissipation, adaptations for measurement or indication of gap depth or other properties of the structure -where the layers are extra layers normally not provided in the transducing structure, e.g. optical layers",2
YAMAHA HATSUDOKI KABUSHIKI KAISHA,"Other fuel-injection apparatus having pertinent characteristics not provided for in groups F02M39/00 - F02M57/00 or F02M67/00; Details, component parts, or accessories of fuel-injection apparatus, not provided for in, or of interest apart from, the apparatus of groups F02M39/00 - F02M61/00 or F02M67/00; ; Combination of fuel pump with other devices, e.g. lubricating oil pump-Fuel-injection apparatus having several injectors fed by a common pumping element, or having several pumping elements feeding a common injector; Fuel-injection apparatus having provisions for cutting-out pumps, pumping elements, or injectors; Fuel-injection apparatus having provisions for variably interconnecting pumping elements and injectors alternatively-Fuel-injection apparatus having a common rail feeding several injectors ; ; Means for varying pressure in common rails; Pumps feeding common rails",2
Yazaki Corporation,"Methods or circuit arrangements for monitoring or controlling batteries or fuel cells, specially adapted for electric vehicles-for monitoring or controlling batteries-of two or more battery modules-Switching between serial connection and parallel connection of battery modules",2
ZF FRIEDRICHSCHAFEN AG,"Fuel-injection apparatus characterised by their fuel conduits or their venting means; ; Arrangements of conduits between fuel tank and pump F02M37/00 -Conduits between injection pumps and injectors ; , e.g. conduits between pump and common-rail or conduits between common-rail and injectors-Common rails",2
,Electrodes-Electrodes composed of or comprising active material-Processes of manufacture in general-Methods of deposition of the material-involving vapour deposition-Physical vapour deposition-Sputtering,1
,"Indicating or measuring liquid level, or level of fluent solid material, e.g. indicating in terms of volume, indicating by means of an alarm-by floats-using rotatable arms or other pivotable transmission elements-using magnetically actuated indicating means",1
,"Record carriers for use with machines and with at least a part designed to carry digital markings-characterised by the kind of the digital marking, e.g. shape, nature, code-with optically detectable marking -multi-dimensional coding",1
3M INNOVATIVE PROPERTIES COMPANY,"Dental auxiliary appliances -Apparatus for curing resins by radiation-Hand-held apparatus, e.g. guns",1
3M INNOVATIVE PROPERTIES COMPANY,Polymeric products of isocyanates or isothiocyanates-with compounds having active hydrogen-characterised by the isocyanates or isothiocyanates used-Polyisocyanates or polyisothiocyanates-Masked polyisocyanates-masked with compounds having only one group containing active hydrogen,1
80 Percent Arms Inc.,Milling-cutters -characterised by physical features other than shape-with removable cutter bits or teeth ; or cutting inserts-Securing arrangements for bits or teeth ; or cutting inserts,1
"A.V. Topchiev Institute of Petrochemical Synthesis, Russian Academy of Sciences",Cosmetics or similar toilet preparations-characterised by the composition-containing inorganic ingredients-Peroxides; Oxygen; Ozone,1
"A9.com, Inc.","Geometric image transformation in the plane of the image-Scaling the whole image or part thereof-for image mosaicing, i.e. plane images composed of plane sub-images",1
ABB Technology AG,"Arrangements or methods for the control of electric machines by vector control, e.g. by control of field orientation-Observer control, e.g. using Luenberger observers or Kalman filters",1
"ADVANCED MICRO DEVICES, INC.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-Multistep manufacturing processes-of devices having semiconductor bodies comprising group 14 or group 13/15 materials -the devices being controllable only by the electric current supplied or the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched, e.g. three-terminal devices-Unipolar field-effect transistors-with an insulated gate, i.e. MISFET-Thin film unipolar transistors-Monocristalline silicon transistors on insulating substrates, e.g. quartz substrates",1
"ADVANCING MOBILITY, LLC",Producing pneumatic or solid tyres or parts thereof -Solid tyres ; ; Moulds therefor,1
"ADVICS CO., LTD.","Arrangements for adjusting wheel-braking force to meet varying vehicular or ground-surface conditions, e.g. limiting or varying distribution of braking force -Using electrical or electronic regulation means to control braking -Brake regulation specially adapted to prevent excessive wheel slip during vehicle deceleration, e.g. ABS -Regulation during travel on surface with different coefficients of friction, e.g. between left and right sides, mu-split ; or between front and rear",1
"ADVICS CO., LTD.","Component parts, details or accessories of machines, pumps or pumping installations, not provided for in groups F04C2/00 - F04C14/00 -Sealing arrangements in rotary-piston machines or pumps -for other than the working fluid, i.e. the sealing arrangements are not between working chambers of the machine-Shaft sealings specially adapted for rotary-piston machines or pumps",1
"AE JAPAN CO., LTD.","Secondary cells; Manufacture thereof-Methods or arrangements for servicing or maintenance of secondary cells or secondary half-cells -Accumulators combined with arrangements for measuring, testing or indicating condition, e.g. level or density of the electrolyte -for several batteries or cells simultaneously or sequentially",1
"AEYE, INC.","Systems using the reflection or reradiation of electromagnetic waves other than radio waves, e.g. lidar systems-Bistatic lidar systems; Multistatic lidar systems",1
AI ALPINE US BIDCO INC,Electrical control of supply of combustible mixture or its constituents -Safety or indicating devices for abnormal conditions -relating to the failure of actuators or electrically driven elements,1
AISAN KOGYO KABUSHIKI KAISHA,"Apparatus or systems for feeding liquid fuel from storage containers to carburettors or fuel-injection apparatus; Arrangements for purifying liquid fuel specially adapted for, or arranged on, internal-combustion engines-Feeding by means of driven pumps-electrically driven-submerged in fuel, e.g. in reservoir-the pump being installed in a sub-tank",1
"AISIN AW CO., LTD.","Control functions within ; control units of;  change-speed- or reversing-gearings for conveying rotary motion ; ; Control of exclusively fluid gearing, friction gearing, gearings with endless flexible members or other particular types of gearing-Detecting malfunction or potential malfunction, e.g. fail safe ; Circumventing or fixing failures",1
"AISIN AW CO., LTD.","General details of gearing -Features relating to lubrication or cooling ; or heating-Type of gearings to be lubricated, cooled or heated-Gearings with gears having orbital motion-Axle or inter-axle differentials",1
AISIN SEIKI KABUSHIKI KAISHA,"Arrangements for adjusting wheel-braking force to meet varying vehicular or ground-surface conditions, e.g. limiting or varying distribution of braking force -Using electrical or electronic regulation means to control braking -Determining control parameters used in the regulation, e.g. by calculations involving measured or detected parameters",1
AISIN SEIKI KABUSHIKI KAISHA,"Arrangements for adjusting wheel-braking force to meet varying vehicular or ground-surface conditions, e.g. limiting or varying distribution of braking force -responsive to vehicle inclination or change of direction, e.g. negotiating bends -Change of direction",1
AISIN SEIKI KABUSHIKI KAISHA,"Combustion-air cleaners, air intakes, intake silencers, or induction systems specially adapted for, or arranged on, internal-combustion engines-Air intakes; Induction systems-Devices or means connected to or integrated into air intakes; Air intakes combined with other engine or vehicle parts -Arrangements of valves; Multi-way valves",1
AISIN SEIKI KABUSHIKI KAISHA,Control systems specially adapted for hybrid vehicles -Controlling the power contribution of each of the prime movers to meet required power demand,1
AISIN SEIKI KABUSHIKI KAISHA,"Magnetically- ; or electrically-;  actuated clutches; Control or electric circuits therefor -with an electromagnet not rotating with a clutching member, i.e. without collecting rings -with radially movable clutching members",1
AISIN SEIKI KABUSHIKI KAISHA,"Magnetically- ; or electrically-;  actuated clutches; Control or electric circuits therefor -with electromagnets incorporated in the clutch, i.e. with collecting rings -with axially-movable friction surfaces-with friction surfaces arranged within the flux",1
AISIN SEIKI KABUSHIKI KAISHA,Measuring arrangements characterised by the use of electric or magnetic means-for measuring angles or tapers; for testing the alignment of axes,1
AISIN SEIKI KABUSHIKI KAISHA,Seats specially adapted for vehicles; Arrangement or mounting of seats in vehicles -Passenger detection systems,1
AISIN SEIKI KABUSHIKI KAISHA,"Valve-gear or valve arrangements, e.g. lift-valve gear -characterised by the provision of means for changing the timing of the valves without changing the duration of opening ; and without affecting the magnitude of the valve lift",1
ALPHA AND OMEGA SEMICONDUCTOR (CAYMAN) LTD.,"Devices consisting of a plurality of semiconductor or other solid-state components formed in or on a common substrate -including semiconductor components specially adapted for rectifying, oscillating, amplifying or switching and having at least one potential-jump barrier or surface barrier; including integrated passive circuit elements with at least one potential-jump barrier or surface barrier-the substrate being a semiconductor body-including a plurality of individual components in a non-repetitive configuration-integrated circuits having a two-dimensional layout of components without a common active region-without components of the field effect type-Bipolar transistors in combination with diodes, or capacitors, or resistors, e.g. vertical bipolar transistor and bipolar lateral transistor and resistor",1
"ALPS ELECTRIC CO., LTD.","Measuring inclination, e.g. by clinometers, by levels-Details-Electric or photoelectric indication or reading means",1
ALSTOM TRANSPORT TECHNOLOGIES,Measuring arrangements characterised by the use of electric or magnetic means-for measuring distance or clearance between spaced objects or spaced apertures -Measuring play on bearings,1
"AMKOR TRADING, INC.","Apparatus or processes for manufacturing printed circuits-Manufacturing multilayer circuits-by building the multilayer layer by layer, i.e. build-up multilayer circuits -by applying an insulating layer having channels for the next circuit layer",1
"AMKOR TRADING, INC.","Details of semiconductor or other solid state devices -Arrangements for conducting electric current to or from the solid state body in operation, e.g. leads, terminal arrangements ; ; Selection of materials therefor-consisting of soldered ; or bonded;  constructions -Leads, ; i.e. metallisations or lead-frames;  on insulating substrates, ; e.g. chip carriers -Geometry or layout",1
"AMKOR TRADING, INC.","Printed circuits-Details-Electrical arrangements not otherwise provided for-Reduction of cross-talk, noise or electromagnetic interference -by printed shielding conductors, ground planes or power plane -Printed shielding conductors for shielding around or between signal conductors, e.g. coplanar or coaxial printed shielding conductors",1
"AMKOR TRADING, INC.",Printed circuits-Details-Structural association of two or more printed circuits,1
"AMKOR TRADING, INC.",Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Apparatus specially adapted for handling semiconductor or electric solid state devices during manufacture or treatment thereof; Apparatus specially adapted for handling wafers during manufacture or treatment of semiconductor or electric solid state devices or components ; ; Apparatus not specifically provided for elsewhere -for supporting or gripping -using temporarily an auxiliary support,1
AMS AG,Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries,1
"ANALOG DEVICES, INC.",Arrangements or instruments for measuring magnetic variables-Measuring direction or magnitude of magnetic fields or magnetic flux -using galvano-magnetic devices-Magnetoresistive devices-anisotropic magnetoresistance sensors,1
"ANALOG DEVICES, INC.","Automatic control of frequency or phase; Synchronisation -using a reference signal applied to a frequency- or phase-locked loop-Indirect frequency synthesis, i.e. generating a desired one of a number of predetermined frequencies using a frequency- or phase-locked loop-using a frequency divider or counter in the loop -a time difference being used for locking the loop, the counter counting between numbers which are variable in time or the frequency divider dividing by a factor variable in time, e.g. for obtaining fractional frequency division -for fractional frequency division-using a phase accumulator for controlling the counter or frequency divider",1
"ANALOG DEVICES, INC.","Gyroscopes; Turn-sensitive devices using vibrating masses; Turn-sensitive devices without moving masses; Measuring angular rate using gyroscopic effects-Turn-sensitive devices using vibrating masses, e.g. vibratory angular rate sensors based on Coriolis forces-using planar vibrating masses driven in a translation vibration along an axis-Signal processing",1
APPLE INC.,"Arrangements for testing electric properties; Arrangements for locating electric faults; Arrangements for electrical testing characterised by what is being tested not provided for elsewhere -Arrangements for testing, measuring or monitoring the electrical condition of accumulators or electric batteries, e.g. capacity or state of charge [SoC]-Arrangements for measuring battery or accumulator variables -using test-loads",1
APPLE INC.,"Details of systems according to groups G01S13/00, G01S15/00, G01S17/00-of systems according to group G01S17/00-Details of pulse systems-Receivers-Time delay measurement, e.g. time-of-flight measurement, time of arrival measurement or determining the exact position of a peak",1
APPLE INC.,"Hand-off or reselection arrangements-Reselection being triggered by specific parameters ; used to improve the performance of a single terminal-by location or mobility data, e.g. speed data",1
APPLE INC.,"Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Arrangements for converting the position or the displacement of a member into a coded form-Digitisers, e.g. for touch screens or touch pads, characterised by the transducing means",1
APPLE INC.,"Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Arrangements for converting the position or the displacement of a member into a coded form-Digitisers, e.g. for touch screens or touch pads, characterised by the transducing means-Control or interface arrangements specially adapted for digitisers-Details of scanning methods, e.g. sampling time, grouping of sub areas or time sharing with display driving",1
APPLE INC.,"Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Interaction techniques based on graphical user interfaces [GUI]-based on specific properties of the displayed interaction object or a metaphor-based environment, e.g. interaction with desktop elements like windows or icons, or assisted by a cursor's changing behaviour or appearance-interaction with lists of selectable items, e.g. menus",1
APPLE INC.,"Measuring for diagnostic purposes ; Identification of persons-Remote monitoring of patients using telemetry, e.g. transmission of vital signals via a communication network -characterised by the type of physiological signal transmitted-ECG or EEG signals",1
APPLE INC.,"Supervisory, monitoring or testing arrangements-Scheduling measurement reports ; ; Arrangements for measurement reports",1
APPLE INC.,"Traffic regulation in packet switching networks -Flow control or congestion control-depending on the type of traffic, e.g. priority or quality of service [QoS]",1
APTAR FRANCE SAS,"Nozzles, spray heads or other outlets, with or without auxiliary devices such as valves, heating means -designed to influence the nature of flow of the liquid or other fluent material, e.g. to produce swirl -to produce swirl-before discharging the liquid or other fluent material, e.g. in a swirl chamber upstream the spray outlet-with channels emerging substantially tangentially in the swirl chamber-the channels being formed at the interface of cooperating elements, e.g. by means of grooves-the interface being a plane perpendicular to the outlet axis",1
APTIV TECHNOLOGIES LIMITED,"Systems using the reflection or reradiation of radio waves, e.g. radar systems; Analogous systems using reflection or reradiation of waves whose nature or wavelength is irrelevant or unspecified-Systems using reflection of radio waves, e.g. primary radar systems; Analogous systems-Systems determining position data of a target-Systems for measuring distance only",1
"AS America, Inc.",Measuring for diagnostic purposes ; Identification of persons-Devices for psychotechnics ; Testing reaction times ; ; Devices for evaluating the psychological state-for vehicle drivers ; or machine operators,1
ASIAN KOGYO KABUSHIKI KAISHA,"Apparatus or systems for feeding liquid fuel from storage containers to carburettors or fuel-injection apparatus; Arrangements for purifying liquid fuel specially adapted for, or arranged on, internal-combustion engines-Feeding by means of driven pumps-electrically driven-submerged in fuel, e.g. in reservoir-Mounting pumps on fuel tanks",1
ASM IP HOLDING B.V.,"Discharge tubes with provision for introducing objects or material to be exposed to the discharge, e.g. for the purpose of examination or processing thereof -Gas-filled discharge tubes, ; e.g. for surface treatment of objects such as coating, plating, etching, sterilising or bringing about chemical reactions-Arrangements for generation of plasma specially adapted for examination or treatment of objects, e.g. plasma sources -Radio frequency generated discharge",1
"AT&T Intellectual Property I, L.P.","Circuit arrangements for providing remote indication of network conditions, e.g. an instantaneous record of the open or closed condition of each circuitbreaker in the network; Circuit arrangements for providing remote control of switching means in a power distribution network, e.g. switching in and out of current consumers by using a pulse code signal carried by the network-characterised by information or instructions transport means between the monitoring, controlling or managing units and monitored, controlled or operated power network element or electrical equipment-using a wired telecommunication network or a data transmission bus-using optical fiber",1
"AT&T Intellectual Property I, L.P.",Coupling devices of the waveguide type-for linking dissimilar lines or devices -Coaxial-line/strip-line transitions,1
"AT&T Intellectual Property I, L.P.",Line transmission systems -Details,1
"AT&T Intellectual Property I, L.P.","Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Special cost functions, i.e. other than distance or default speed limit of road segments",1
"AT&T Intellectual Property I, L.P.",Network architectures or network communication protocols for network security -for supporting authentication of entities communicating through a packet data network,1
"AT&T Intellectual Property I, L.P.","Security arrangements for protecting computers, components thereof, programs or data against unauthorised activity-Protecting data-Protecting access to data via a platform, e.g. using keys or access control rules",1
AT&T Mobility II LLC,"Substation equipment, e.g. for use by subscribers -Mobile telephones; Cordless telephones, i.e. devices for establishing wireless links to base stations without route selection-User interfaces specially adapted for cordless or mobile telephones-with means for local support of applications that increase the functionality-for supporting emergency services",1
"ATLATL SOFTWARE, INC.","Manipulating 3D models or images for computer graphics-Editing of 3D images, e.g. changing shapes or colours, aligning objects or positioning parts",1
AUDI AG,"Administration; Management-Forecasting or optimisation, e.g. linear programming, 'travelling salesman problem' or 'cutting stock problem'",1
AUDI AG,Electric or fluid circuits specially adapted for vehicles and not otherwise provided for; Arrangement of elements of electric or fluid circuits specially adapted for vehicles and not otherwise provided for -electric ; constitutive elements-for transmission of signals between vehicle parts or subsystems-Circuits relating to the driving or the functioning of the vehicle,1
AUDI AG,"Vehicle locks characterised by special functions or purposes -Functions related to actuation of locks from the passenger compartment of the vehicle-preventing use of an inner door handle, sill button, lock knob or the like-for anti-theft purposes, e.g. double-locking or super-locking",1
AUDI ELECTRONICS VENTURE GMBH,"Vehicle locks characterised by special functions or purposes -Functions related to actuation of locks from the passenger compartment of the vehicle-preventing use of an inner door handle, sill button, lock knob or the like-for anti-theft purposes, e.g. double-locking or super-locking",1
AUTOLIV DEVELOPMENT AB,"Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks -Electrical circuits for triggering ; passive;  safety arrangements, ; e.g. airbags, safety belt tighteners,;  in case of vehicle accidents or impending vehicle accidents",1
AUTOMATED ASSEMBLY CORPORATION,"Fastening of light sources or lamp holders -the light sources being semiconductors devices, e.g. LEDs-Fastening arrangements intended to retain light sources-the fastening means engaging the conductors of the light source, i.e. providing simultaneous fastening of the light sources and their electric connections",1
AZBIL CORPORATION,"Measuring steady of quasi-steady pressure of fluid or fluent solid material by electric or magnetic pressure-sensitive elements ; Transmitting or indicating the displacement of mechanical pressure-sensitive elements, used to measure the steady or quasi-steady pressure of a fluid or fluent solid material, by electric or magnetic means -Transmitting or indicating the displacement of flexible diaphragms-Constructional details associated with semiconductive diaphragm sensors, e.g. etching, or constructional details of non-semiconductive diaphragms",1
"Advanced Ceramic Fibers, LLC",Shaped ceramic products characterised by their composition ; Ceramics compositions ; Processing powders of inorganic compounds preparatory to the manufacturing of ceramic products -Forming processes; Processing powders of inorganic compounds preparatory to the manufacturing of ceramic products-obtaining fibres-based on non-oxide ceramics -Fibres based on carbides-based on silicon carbide,1
"Advanced Functional Fabrics of America, Inc.","Methods or arrangements for reading or recognising printed or written characters or for recognising patterns, e.g. fingerprints -Recognising scenes, i.e. recognition of a whole field of perception; recognising scene-specific objects -Recognising scenes such as could be captured by a camera operated by a pedestrian or robot, including objects at substantially different ranges from the camera-for providing information about objects in the scene to a user, e.g. as in augmented reality applications",1
Advanced Power Electronics Corporation (APECOR Corp.),"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Unipolar devices ; , e.g. field effect transistors-Field effect transistors-with field effect produced by an insulated gate -DMOS transistors, i.e. MISFETs with a channel accommodating body or base region adjoining a drain drift region -Vertical DMOS transistors, i.e. VDMOS transistors-with trench gate electrode, e.g. UMOS transistors",1
"Aeromotive, Inc.","Apparatus or systems for feeding liquid fuel from storage containers to carburettors or fuel-injection apparatus; Arrangements for purifying liquid fuel specially adapted for, or arranged on, internal-combustion engines-Feeding by means of driven pumps-electrically driven-submerged in fuel, e.g. in reservoir-the pump being installed in a sub-tank",1
Agere Systems Inc.,"Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of semiconductor devices or of parts thereof-the devices having at least one potential-jump barrier or surface barrier, e.g. PN junction, depletion layer or carrier concentration layer -the devices having semiconductor bodies comprising elements of Group IV of the Periodic System or AIIIBV compounds with or without impurities, e.g. doping materials -Manufacture of electrodes on semiconductor bodies using processes or apparatus not provided for in groups H01L21/20 - H01L21/268 -Making conductor-insulator-semiconductor electrodes-the insulator being formed after the semiconductor body, the semiconductor being silicon-Making the insulator-on single crystalline silicon, e.g. using a liquid, i.e. chemical oxidation-with a treatment, e.g. annealing, after the formation of the gate insulator and before the formation of the definitive gate conductor",1
Aimtron Technology Corp.,"Conversion of dc power input into dc power output-without intermediate conversion into ac-by static converters-using discharge tubes with control electrode or semiconductor devices with control electrode -using devices of a triode or transistor type requiring continuous application of a control signal-using semiconductor devices only-with automatic control of output voltage or current, e.g. switching regulators-including plural semiconductor devices as final control devices for a single load-comprising at least one synchronous rectifier element",1
Alcon Inc.,Brakes not otherwise provided for; Brakes combining more than one of the types of groups F16D49/00 - F16D61/00-Positive locking brakes,1
Alcon Inc.,Computer-aided surgery; Manipulators or robots specially adapted for use in surgery-User interfaces for surgical systems,1
"Allegro MicroSystems, LLC",Arrangements or instruments for measuring magnetic variables-Measuring direction or magnitude of magnetic fields or magnetic flux -using galvano-magnetic devices-Hall effect devices,1
"Alliance for Sustainable Energy, LLC","Arrangements for testing electric properties; Arrangements for locating electric faults; Arrangements for electrical testing characterised by what is being tested not provided for elsewhere -Arrangements for testing, measuring or monitoring the electrical condition of accumulators or electric batteries, e.g. capacity or state of charge [SoC]-Arrangements for monitoring battery or accumulator variables, e.g. SoC",1
Allstate Insurance Company,"Finance; Insurance; Tax strategies; Processing of corporate or income taxes-Insurance, e.g. risk analysis or pensions",1
"Alpine Electronics, Inc.",Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Input/output arrangements for on-board computers-Display of a road map,1
"Alpine Electronics, Inc.","Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Input/output arrangements for on-board computers-Retrieval, searching and output of POI information, e.g. hotels, restaurants, shops, filling stations, parking facilities",1
